end_date,intrinsic,trigger
1987-01-31,"US economy expected to be $4 trillion in 1987. Texas' GDP growth heavily impacted by mid-1980s oil bust. US economy grew 2.5% in 1986, worst since 1982, due to trade deficit and lagging spending.",
1987-02-28,"U.S. economy near full capacity, large federal deficit, focus on external balance and protection, government appointments, ongoing economic cooperation with Honduras.",
1987-03-31,"Ongoing US economic problems, currency/commodity market fluctuations, and US-Presidential talks addressing these issues with achievements. Potential for continued US tariffs and trade tensions.",
1987-04-30,US provided economic assistance and President Reagan highlighted technology's role in economic development. Bangladesh's GDP and Asia-Pacific's diverse economic growth were noted.,
1987-05-31,U.S. trade deficit was a concern; Italy's GDP revaluation showed it ahead of Britain; world economic outlook was uncertain.,
1987-06-30,"Soviet Union implements economic reforms, allowing greater freedom for enterprises, potentially leading to increased trade and investment.",
1987-07-31,US Independence Day celebrated on July 3. The economy was experiencing high inflation and outrageous prices. A growing share of services in the economy was a notable trend. The US consistently welcomed foreign investors.,
1987-08-31,"Soviet Union introduced Joint Venture Law to improve economic cooperation with US. South Korea's economy expected to continue strong trade surplus with US, nearly $9 billion annually.",
1987-09-30,"US budget process discussed in Congress; US had high foreign trade coefficient; IMF released its Annual Report 1987 on Sep 27, discussing world economy.",
1987-10-31,US considered compulsory HIV screening program; economy showed signs of stagnation but also recent good performance with moderate growth expected.,"Dow Jones Industrial Average crashed on October 15, 1987."
1987-11-30,"US economy showed low savings rates, 1980s shifts, and 5 years of growth (1982-1987). Gorbachev's economic plans published Nov 23.","US imposed an embargo on all imports from Iran on October 26, 1987."
1987-12-31,"US steel industry declining; US economy facing adversity with oil-fueled inflation; US experiencing economic vulnerability, federal budget deficit, and declining global economic status.","Global economic slowdown, bank stress, and increasing fears of a US recession."
1988-01-31,"US economy in an expansion phase, facing a recognized need for trade policy shift, with expected short-term slowing growth. President Reagan delivered the annual State of the Union Address discussing the economy.",
1988-02-29,US economy in sustained expansion since 1982 with low inflation; major global player; Medicare prospective payment system affected hospitals.,
1988-03-31,Latin American economy affected by reduced U.S. aid and trade slump. U.S. considering Panama sanctions; signed defense/economic pact with Turkey. OECD identified key global economies.,
1988-04-30,American economy in longest peacetime expansion; continued slowdown in growth and fluctuations due to ongoing banking panics and increased petroleum imports.,Appreciation of the Japanese yen may lead to short-term fluctuations in global trade and economic activity.
1988-05-31,"US economy showed strong job creation. Predictions indicated continued improvement and development, with NYC's boom potentially spreading.",Jamaica's economy stabilized and began growing in 1988.
