end_date,intrinsic,trigger
1993-04-11,"Global oil market changes due to US shale gas production and rising oil production in Iraq, potentially leading to lower oil prices.",
1993-04-18,Historical 1973 oil embargo's impact on energy; ongoing oil price fluctuations and industry adaptation.,
1993-04-25,Cook Islands economy shifted to market-driven pricing after years of controls; latest US inflation report released.,
1993-05-02,Fact: KIA MPV (RV) country of origin is the United States and runs on Gasoline Fuel.,
1993-05-09,Ongoing concern about gasoline and fuel oil prices in 1993.,Uncovering of a state tax evasion scheme for gasoline and fuel oil sales.
1993-05-16,US oil and gas industry interests in western states; Wyoming Oil and Gas Commission information; expected continued oil price volatility.,
1993-05-23,Fact: Cost of practice varies among fuel and motor oil dealers and auctioneers in the US.,
1993-05-30,Oil production and energy security were general concerns in 1993.,
1993-06-06,Gasoline price was a significant factor in the US and India; clear premium gasoline was introduced.,
1993-06-13,"Factual decline in petroleum and crude oil prices in May 1993. Expected increase in coconut, copra, and palm oil prices. Short-term oil prices may decline/stabilize.",
1993-06-20,"Real price of Gulf oil underestimated, leading to overestimation of alternative fuel prices.",
1993-06-27,"IMF reported easing price pressures in world oil markets, suggesting stable oil prices and potential economic growth.",
1993-07-04,Supreme Court decision on oil/gas production costs affecting the economy of oil and gas extraction.,
1993-07-11,"Oil prices were at rock bottom during 1993, representing a realized market condition for the period.",
1993-07-18,"In 1993, 83% of recycled used oil in the US was reprocessed for fuel, indicating a factual dynamic in resource management.",
1993-07-25,,Scandal involving state energy conglomerate ENI and suicide of its former chairman Gabriele Cagliari.
1993-08-01,"Presumptive NOx RACT emissions rates for gas/oil are 0.20-0.30, reflecting existing regulatory guidelines and potential for fuel switching.",
1993-08-08,"Clinton administration passed a budget bill, increasing gasoline tax from 14.1 to 18.4 cents per gallon.",
1993-08-15,"Proposed Alaska tax rates in 1993 would make fuel oil heating most expensive, about $88 per household.",
1993-08-22,"{""intrinsic"": """", ""trigger"": """"}",
1993-08-29,Realized oil price around $28/barrel in August 1993; copper price sensitivity to export earnings.,
1993-09-05,US experienced rapid economic growth and an external surplus in 1993.,
1993-09-12,Objective fact: fuel cost is a significant factor in total rulemaking cost for ultralight vehicles in the US.,
1993-09-19,"General economic and energy-related discussions in the US, including tuition prices, NOx emissions, gasoline tax, and information infrastructure.",
1993-09-26,"US economy and energy activities, including investment in fuel expansion, natural gas development, and ongoing oil price fluctuations.",
1993-10-03,"Research findings on sunflower oil as a diesel fuel substitute, noting its energy content and potential long-term impact on the energy sector.",
1993-10-10,US consumes 20% of world oil; short-term prices expected to remain high due to inflation and consumption patterns.,
1993-10-17,Gasoline prices increased.,U.N. sanctions in Haiti.
1993-10-24,US government issued Executive Order 12873 to reduce energy consumption and promote energy efficiency.,
1993-10-31,"Realized 1993 inflation rate of 2.9% and fiscal deficit of US$290 billion, potentially causing market uncertainty.",
1993-11-07,"General legal principle: agreement to fix, raise, or maintain retail gasoline prices is a crime.",
1993-11-14,"Gasoline prices were high in 1993, with a significant 5% rise occurring for the second time.",
1993-11-21,"{""intrinsic"": """", ""trigger"": """"}",
1993-11-28,Historical fact: 1979 gasoline shortage led to the development of oil stations.,
1993-12-05,"U.S. economy affected by costs of crude oil, gasoline, heating oil, and other energy inputs, influencing inflation and interest rates.",
1993-12-12,"{""intrinsic"": """", ""trigger"": """"}",
1993-12-19,Fundamental relationship: gasoline price is affected by crude oil cost.,
1993-12-26,Factual comparison of crude oil and natural gas prices to drilling costs; oil prices fluctuate based on drilling costs and trade agreements.,
1994-01-02,"Omnibus Budget Reconciliation Act of 1993, enacted in August, included oil shale price support, influencing energy policy and oil market dynamics.",
1994-01-09,US Department of the Interior assessed oil pollution regulation applicability.,
1994-01-16,"General economic fact regarding machine operating costs including fuel, oil, and labor; ongoing significance of oil prices for economy, monetary policy, and interest rates.",
1994-01-23,"Significant damage to natural-gas connections and high repair/replacement costs due to the earthquake, impacting energy supply.","Northridge earthquake on January 17, 1994, an unexpected exogenous shock causing significant damage to natural-gas infrastructure."
1994-01-30,Oil price changes and rising international interest rates were significant economic factors in 1994.,
1994-02-06,"Average residential prices for utility gas, electricity, and fuel oil were tracked in the US during 1994.",
1994-02-13,IMF reported on oil commodity prices and long-term developments in 1994.,
1994-02-20,"Gold prices increased significantly, matching the oil-price shock.",Oil-price shock occurred.
1994-02-27,US goal to reduce foreign petroleum dependence in the 1990s.,
1994-03-06,EPA report provides average crude corn oil prices from 1981-1994.,
1994-03-13,"Oil prices were at a low level in 1994, continuing a trend from late 1993 when crude oil and gasoline prices reached multi-year lows.",
1994-03-20,"Fact: US 1993 power generation fuel sources reported as 50.3% nuclear, 26.5% gas, 16.4% coal, 6.4% oil, 0.4% hydro.",
1994-03-27,"FOMC meeting discussed increased producer prices, driven by higher gasoline and heating oil costs, offsetting declining food prices.",
1994-04-03,"Economy and financial markets showed good results in March quarter 1994, driven by lower world oil prices reducing fuel and production costs.",
1994-04-10,"Concern over oil and gas prices led to people stockpiling oil, canned food, and non-perishable milk in anticipation of emergencies.",
1994-04-17,Fact on hydrocracking process for fuel production; predictions of energy price fluctuations and long-term shifts.,
1994-04-24,Ongoing impact of the 1973 oil embargo on the economy and energy prices.,
1994-05-01,"Oil border price for 1994 set at US$11.23/cubic meter, impacting smallwood production valuation.",
1994-05-08,"{""intrinsic"": """", ""trigger"": """"}",
1994-05-15,California's concern over petroleum market instability and environmental/economic disruptions; expected shift towards sustainable energy sources and alternative investments.,
1994-05-22,"US Army Medical Materiel Agency redistributes assets including fuel oils as of May 19, 1994.",
1994-05-29,"Depressed world oil prices continue to reduce government revenues, a long-standing issue since the early 1980s.",
1994-06-05,"World Bank model represents natural gas prices from old fields by oil prices; oil prices may continue to influence natural gas prices, causing fluctuations.",
