end_date,intrinsic,trigger
1998-09-30,"US government initiatives (National Household Survey, CERT) for disaster preparedness and response.",Floods in Sudan; Eritrea appealed for international disaster assistance; Caribbean Development Bank grant for Hurricane Georges affected countries.
1998-10-31,,"Significant natural disasters: 1998 China floods ($20B damage), Hurricane Georges (Caribbean/US destruction, 460+ deaths), and Sudan floods."
1998-11-30,"US experienced natural disasters, with existing federal/state response laws (e.g., Disaster Relief Act). USAID/OFDA provided disaster assistance in Niger and Liberia.","Hurricane Mitch caused a disaster in Nicaragua, prompting US government to pledge $70m in emergency aid and international response efforts."
1998-12-31,"US provided disaster relief to Central America, shifting to reconstruction; international aid provided for Nigerian pipeline explosion response.",Hurricane Georges affected Caribbean; major ice storm hit US/Canada; pipeline explosion in Nigeria.
1999-01-31,"ICRC emphasized state control over disaster relief; US had 55 labs coordinating emergency support; US developed incident command systems for EMS, refining disaster strategies.","Blizzard of 1999 struck Midwestern US and Canada, causing severe winter storms; UN launched appeal for Sudan."
1999-02-28,Federal law (Stafford Act) provides disaster relief assistance.,UN World Food Programme revised upwards the crisis situation in Niger.
1999-03-31,"{""intrinsic"": """", ""trigger"": """"}",
1999-04-30,"Established US government agencies (USAID, CDC, FEMA) manage emergency response and disaster assistance. Ongoing disaster response and long-term climate disaster preparedness are noted.",
1999-05-31,"US government has emergency disaster relief programs (NFIP, FFO); past floods highlighted importance of emergency management.",Significant earthquake in the United States in 1999.
1999-06-30,National Disaster Management Act (1998) allows for states of emergency; U.S. Army Corps of Engineers delivers solutions to reduce disaster risk; disaster effects vary by race/ethnicity.,"Pine Ridge tornado disaster occurred in 1999, leading to BIA welfare and emergency assistance."
1999-07-31,,"Train derailment and oil spill in Montana (July 11, 1999); severe to extreme drought conditions in eastern U.S. leading to emergencies (July 1999)."
1999-08-31,"Ongoing focus on proactive disaster management, risk reduction, and US government's continued prioritization of emergency response and planning.",Maryland declared a drought disaster area due to the 1999 drought.
1999-09-30,1999 food shortage emergency in Ethiopia caused by drought.,"State of emergency declared in Sudan due to floods, international assistance appealed."
1999-10-31,US disaster response laws and agencies are in place; historical expenditures for Mount Pinatubo 1991 disaster.,"IMF approved US$501 million emergency assistance for Turkey following a disaster on October 13, 1999."
1999-11-30,FEMA's 1997,
1999-12-31,"The African Children's Charter (article 22) mandates protection for children from armed conflicts, natural disasters, and emergencies.",
2000-01-31,"U.S. provided grant for ongoing disaster relief efforts in Venezuela, contributing to a general focus on disaster management and healthcare systems.",
2000-02-29,,U.S. Army North deployed emergency response vehicle to Phoenix (Feb 6); Kosovo refugee crisis was a major emergency (Feb 7-13).
2000-03-31,,"Mozambique launched an emergency appeal for US$ 2.7 million for flood victims on February 29, 2000."
2000-04-30,IFRC's Disaster Services program for disaster response.,Ongoing impact and reporting of the 2000 Mozambique flood (occurred Feb-Mar).
2000-05-31,US emergency response systems in place for disaster relief and emergency expenditures.,"Ethiopia experiencing drought in FY 2000; 7.3 magnitude earthquake reported on May 8, 2000."
2000-06-30,"US government maintains emergency response plans; assessed 1999 Hurricane Floyd evacuation, highlighting emergency management.",UN launched emergency appeal for Horn of Africa drought; Bengkulu Earthquake in Sumatra occurred.
2000-07-31,US government has official agencies and laws for disaster management; Canada and US signed an International Emergency Management Assistance MOU; Marmara earthquake demands highlighted disaster management weaknesses; discussion of past US natural disaster losses.,US government declared states of emergency and provided disaster relief in North Dakota and Sudan.
2000-08-31,"Historical US disasters, existing emergency management infrastructure, and predicted continued wildfire activity in the short term.",National Guard activated for emergency disaster response in August 2000.
2000-09-30,Ongoing US government emergency management and disaster relief efforts; statistics on disaster declarations; historical facts about natural disasters.,
2000-10-31,FEMA's role in emergency management and disaster assistance; Robert T. Stafford Disaster Relief Act signed; US government passed laws for disaster relief funding.,UN launched appeal for Cambodia due to floods.
2000-11-30,Disaster Mitigation Act of 2000 enacted; reports on past disasters; FEMA's role and ongoing disaster preparedness efforts.,
2000-12-31,US Congress assembled the Disaster Mitigation Act of 2000; widespread Y2K problem concerns marked the end of the year.,
2001-01-31,"US government ongoing disaster risk reduction efforts, contractor registry, and interagency coordination plans.","26th January 2001 earthquake in Gujarat, leading to establishment of GSDMA."
2001-02-28,"Ongoing concerns about natural disasters, including heat-related deaths, and the role of FEMA in disaster mitigation planning. Predictions of increasing disaster frequency due to climate change.",
2001-03-31,Civil society's commitment to emergency services; evolving disaster management strategies focusing on preparedness and mitigation.,"Nisqually earthquake on Feb 28, 2001, resulted in approximately 400 injuries and a state of emergency declaration."
2001-04-30,Factual information on NAWAS and FEMA's roles in disaster response. Predictions of increasing natural disasters and ongoing emergency response and relief efforts.,
2001-05-31,,2001 floods in Southern Africa led to a state of disaster; disaster response workers assessed damage in Liberia.
