end_date,intrinsic,trigger
1970-01-31,"{""intrinsic"": """", ""trigger"": """"}",
1970-02-28,"{""intrinsic"": """", ""trigger"": """"}",
1970-03-31,"Typical seasonal patterns for March, reflecting expected monthly seasonality.",
1970-04-30,"{""intrinsic"": """", ""trigger"": """"}",
1970-05-31,"{""intrinsic"": """", ""trigger"": """"}",
1970-06-30,"{""intrinsic"": """", ""trigger"": """"}",
1970-07-31,"{""intrinsic"": """", ""trigger"": """"}",
1970-08-31,August seasonality.,
1970-09-30,"{""intrinsic"": """", ""trigger"": """"}",
1970-10-31,"{""intrinsic"": """", ""trigger"": """"}",
1970-11-30,"{""intrinsic"": """", ""trigger"": """"}",
1970-12-31,"{""intrinsic"": """", ""trigger"": """"}",
1971-01-31,"Beginning of a new calendar year, potential for typical January seasonal patterns.",
1971-02-28,"{""intrinsic"": """", ""trigger"": """"}",
1971-03-31,"{""intrinsic"": """", ""trigger"": """"}",
1971-04-30,"{""intrinsic"": """", ""trigger"": """"}",
1971-05-31,"{""intrinsic"": """", ""trigger"": """"}",
1971-06-30,"Monthly data, potential for June seasonality.",
1971-07-31,"{""intrinsic"": """", ""trigger"": """"}",
1971-08-31,"{""intrinsic"": """", ""trigger"": """"}",
1971-09-30,"{""intrinsic"": """", ""trigger"": """"}",
1971-10-31,"{""intrinsic"": """", ""trigger"": """"}",
1971-11-30,"{""intrinsic"": """", ""trigger"": """"}",
1971-12-31,"{""intrinsic"": """", ""trigger"": """"}",
1972-01-31,"General January seasonality (e.g., post-holiday trends, winter effects).",
1972-02-29,"February 1972, a leap year month with 29 days.",
1972-03-31,"{""intrinsic"": """", ""trigger"": """"}",
1972-04-30,Monthly seasonality expected for April.,
1972-05-31,"{""intrinsic"": """", ""trigger"": """"}",
1972-06-30,"{""intrinsic"": """", ""trigger"": """"}",
1972-07-31,General monthly seasonality for July.,
1972-08-31,"{""intrinsic"": """", ""trigger"": """"}",
1972-09-30,"{""intrinsic"": """", ""trigger"": """"}",
1972-10-31,"{""intrinsic"": """", ""trigger"": """"}",
1972-11-30,"{""intrinsic"": """", ""trigger"": """"}",
1972-12-31,"{""intrinsic"": """", ""trigger"": """"}",
1973-01-31,"{""intrinsic"": """", ""trigger"": """"}",
1973-02-28,"{""intrinsic"": """", ""trigger"": """"}",
1973-03-31,"{""intrinsic"": """", ""trigger"": """"}",
1973-04-30,"{""intrinsic"": """", ""trigger"": """"}",
1973-05-31,"{""intrinsic"": """", ""trigger"": """"}",
1973-06-30,"{""intrinsic"": """", ""trigger"": """"}",
1973-07-31,"{""intrinsic"": """", ""trigger"": """"}",
1973-08-31,"{""intrinsic"": """", ""trigger"": """"}",
1973-09-30,Regular monthly seasonality for September.,
1973-10-31,"{""intrinsic"": """", ""trigger"": """"}",
1973-11-30,"{""intrinsic"": """", ""trigger"": """"}",
1973-12-31,"{""intrinsic"": """", ""trigger"": """"}",
1974-01-31,"{""intrinsic"": """", ""trigger"": """"}",
1974-02-28,"{""intrinsic"": """", ""trigger"": """"}",
1974-03-31,"{""intrinsic"": """", ""trigger"": """"}",
1974-04-30,"{""intrinsic"": """", ""trigger"": """"}",
1974-05-31,"{""intrinsic"": """", ""trigger"": """"}",
1974-06-30,"{""intrinsic"": """", ""trigger"": """"}",
1974-07-31,"{""intrinsic"": """", ""trigger"": """"}",
1974-08-31,"{""intrinsic"": """", ""trigger"": """"}",
1974-09-30,"{""intrinsic"": """", ""trigger"": """"}",
1974-10-31,"{""intrinsic"": """", ""trigger"": """"}",
1974-11-30,"{""intrinsic"": """", ""trigger"": """"}",
1974-12-31,"{""intrinsic"": """", ""trigger"": """"}",
1975-01-31,"{""intrinsic"": """", ""trigger"": """"}",
1975-02-28,Monthly seasonality (February); shorter month (28 days).,
1975-03-31,"{""intrinsic"": """", ""trigger"": """"}",
1975-04-30,"{""intrinsic"": """", ""trigger"": """"}",
1975-05-31,"{""intrinsic"": """", ""trigger"": """"}",
1975-06-30,Monthly seasonality for June.,
1975-07-31,"{""intrinsic"": """", ""trigger"": """"}",
1975-08-31,Typical August seasonality.,
1975-09-30,General monthly seasonality.,
1975-10-31,"{""intrinsic"": """", ""trigger"": """"}",
1975-11-30,"{""intrinsic"": """", ""trigger"": """"}",
1975-12-31,"{""intrinsic"": """", ""trigger"": """"}",
1976-01-31,"{""intrinsic"": """", ""trigger"": """"}",
1976-02-29,"February 1976, a leap year with 29 days; typical winter seasonality.",
1976-03-31,"{""intrinsic"": """", ""trigger"": """"}",
1976-04-30,"{""intrinsic"": """", ""trigger"": """"}",
1976-05-31,"{""intrinsic"": """", ""trigger"": """"}",
1976-06-30,"{""intrinsic"": """", ""trigger"": """"}",
1976-07-31,"{""intrinsic"": """", ""trigger"": """"}",
